Organization number,Company name,email,website,Company visiting address,Company visiting postal code,Company visiting postal area,Company visiting county,Company visiting phone,Company postal address,Company postal code,Company postal area,Office name,Office visiting address,Office visiting postal code,Office visiting postal area,Office visiting county,Office visiting phone,Office postal address,Office postal code,Office postal area,turnovers-interval,employees-interval,Turnover,Profit,Result of the year,Assests,The year of figures,Registered,Profit margin,Liquidity,Solidity,Gross profit margin,2024- Employees,2023- Employees,2022- Employees,2024- Turnover,2023- Turnover,2022- Turnover,2024- Result after financial items,2023- Result after financial items,2022- Result after financial items,2024- Years result,2023- Years result,2022- Years result,2024- Assets,2023- Assets,2022- Assets,Operation description,SNI,Company status,Company registration,F-tax registered,Date for F-tax registration,VAT registered,Registration date for VAT,Entity type,Mother company name,Owbership type,County of seat,Munipality of seat,decision_maker_name,Decision maker title,decision_maker_email,decision_maker_number,Reference page,last_updated
5562229012,Verisure Group AB,info@securitas-direct.com,www.securitas-direct.com,NORDENSKIÖLDSGATAN 11 A,21119,Malmö,Skåne län,40254500,BOX 392,20123,Malmö,,,,,,,,,,,0,4325,2248155,2225417,68426139,2020-12-01,1982,22130.45,38.93,46.32,100,17,15,18,4325,115,10000,-2248155,-1943147,-2430000,-2225417,-1961470,-21000,68426139,71281525,68297000,"Föremålet för bolagets verksamhet är att (direkt eller indirekt genom dotterföretag) tillhandahålla tjänster och produkter inom säkerhetsbranschen, äga och förvalta fast och lös egendom samt bedriva annan därmed förenlig verksamhet.",70100,Active,1982-11-22,Registrerad,1997-01-01,Yes,1997-01-01,Aktiebolag,Dream Luxco Sca,"Publikt bolag,",Skåne län,Malmö,Karin Cecilia Hultén,Styrelseledamot,,,,2024-10-28 12:55
5562229012,Verisure Group AB,info@securitas-direct.com,www.securitas-direct.com,NORDENSKIÖLDSGATAN 11 A,21119,Malmö,Skåne län,40254500,BOX 392,20123,Malmö,,,,,,,,,,,0,4325,2248155,2225417,68426139,2020-12-01,1982,22130.45,38.93,46.32,100,17,15,18,4325,115,10000,-2248155,-1943147,-2430000,-2225417,-1961470,-21000,68426139,71281525,68297000,"Föremålet för bolagets verksamhet är att (direkt eller indirekt genom dotterföretag) tillhandahålla tjänster och produkter inom säkerhetsbranschen, äga och förvalta fast och lös egendom samt bedriva annan därmed förenlig verksamhet.",70100,Active,1982-11-22,Registrerad,1997-01-01,Yes,1997-01-01,Aktiebolag,Dream Luxco Sca,"Publikt bolag,",Skåne län,Malmö,Vincent Philippe Litrico,Styrelseledamot,,,,2024-10-28 12:55
5566487780,V. Grossmann:s AB,info@grossmanns.nu,www.grossmanns.nu,,0,,,42160061,Box 13069,25013,Helsingborg,,,,,,,,,,,0,4,1,1,28698,2021-04-01,2003,,1161.39,91.39,,0,0,2,4,38950,36271,1,14858,3914,1,11660,3024,28698,28962,19310,"Bolaget skall bedriva byggnadsverksamhet, äga och förvalta fastigheter och därmed förenlig verksamhet.",43911,Registrerad hos Bolagsverket,2003-09-25,Avregistrerad,2003-11-27,Yes,2004-01-08,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Helsingborg,Camilla Erika Hammarberg Grossmann,Styrelsesuppleant,,,,2024-10-28 12:55
5566487780,V. Grossmann:s AB,info@grossmanns.nu,www.grossmanns.nu,,0,,,42160061,Box 13069,25013,Helsingborg,,,,,,,,,,,0,4,1,1,28698,2021-04-01,2003,,1161.39,91.39,,0,0,2,4,38950,36271,1,14858,3914,1,11660,3024,28698,28962,19310,"Bolaget skall bedriva byggnadsverksamhet, äga och förvalta fastigheter och därmed förenlig verksamhet.",43911,Registrerad hos Bolagsverket,2003-09-25,Avregistrerad,2003-11-27,Yes,2004-01-08,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Helsingborg,Vladimir Grossmann,Styrelseledamot,vlado@grossmanns.nu,,,2024-10-28 12:55
5563819084,Lindgrens Tele & Antenn System AB,info@litas.se,www.litas.se,UTMARKSVÄGEN 52,26253,Ängelholm,Skåne län,43118018,UTMARKSVÄGEN 52,26253,Ängelholm,,,,,,,,,,,0,0,374,301,11227,2021-08-01,1989,,41313.33,99.87,,0,0,0,0,0,0,374,289,108,301,138,80,11227,11441,11347,Bolaget skall utföra installation och service samt bedriva försäljning av tele- och antennsystem ävensom idka därmed förenlig verksamhet.,43210,Active,1989-12-28,Registrerad,1994-01-01,Yes,1990-01-01,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Ängelholm,Ingvar Erik Christer Lindgren,Styrelseledamot,info@litas.se,,,2024-10-28 12:55
5563819084,Lindgrens Tele & Antenn System AB,info@litas.se,www.litas.se,UTMARKSVÄGEN 52,26253,Ängelholm,Skåne län,43118018,UTMARKSVÄGEN 52,26253,Ängelholm,,,,,,,,,,,0,0,374,301,11227,2021-08-01,1989,,41313.33,99.87,,0,0,0,0,0,0,374,289,108,301,138,80,11227,11441,11347,Bolaget skall utföra installation och service samt bedriva försäljning av tele- och antennsystem ävensom idka därmed förenlig verksamhet.,43210,Active,1989-12-28,Registrerad,1994-01-01,Yes,1990-01-01,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Ängelholm,Mai Gull-Britt Lindgren,Styrelsesuppleant,,,,2024-10-28 12:55
5567608145,Scandinavian Property Development Sweden AB,info@scandinavianhouse.net,www.scandinavianhouse.net,STORTORGET 29 CO PURPLE SCOUT,21134,Malmö,Skåne län,705757390,c/o RESULTERA I REDOVISNING MALMÖ AB - STORTORGET 29 CO PURPLE SCOU,21134,Malmö,,,,,,,,,,,0,0,23,23,169,2020-12-01,2008,,114.42,38.46,,0,0,0,0,0,305,-23,-32,71,-23,-32,71,169,163,5888,Föremålet för bolagets verksamhet är att äga och förvalta fast och lös egendom samt därmed förenlig verksamhet.,41200,Active,2008-07-01,Registrerad,2009-02-12,Yes,2009-01-29,Aktiebolag,Scandinavian Property Development Aktiebolag,"Privat, ej börsnoterat",Skåne län,Malmö,Christopher Lennart Ebbe M Taube,Styrelsesuppleant,,,,2024-10-28 12:55
5567608145,Scandinavian Property Development Sweden AB,info@scandinavianhouse.net,www.scandinavianhouse.net,STORTORGET 29 CO PURPLE SCOUT,21134,Malmö,Skåne län,705757390,c/o RESULTERA I REDOVISNING MALMÖ AB - STORTORGET 29 CO PURPLE SCOU,21134,Malmö,,,,,,,,,,,0,0,23,23,169,2020-12-01,2008,,114.42,38.46,,0,0,0,0,0,305,-23,-32,71,-23,-32,71,169,163,5888,Föremålet för bolagets verksamhet är att äga och förvalta fast och lös egendom samt därmed förenlig verksamhet.,41200,Active,2008-07-01,Registrerad,2009-02-12,Yes,2009-01-29,Aktiebolag,Scandinavian Property Development Aktiebolag,"Privat, ej börsnoterat",Skåne län,Malmö,Hans Martin Kenneth Johnsson,Revisor,,,,2024-10-28 12:55
5567608145,Scandinavian Property Development Sweden AB,info@scandinavianhouse.net,www.scandinavianhouse.net,STORTORGET 29 CO PURPLE SCOUT,21134,Malmö,Skåne län,705757390,c/o RESULTERA I REDOVISNING MALMÖ AB - STORTORGET 29 CO PURPLE SCOU,21134,Malmö,,,,,,,,,,,0,0,23,23,169,2020-12-01,2008,,114.42,38.46,,0,0,0,0,0,305,-23,-32,71,-23,-32,71,169,163,5888,Föremålet för bolagets verksamhet är att äga och förvalta fast och lös egendom samt därmed förenlig verksamhet.,41200,Active,2008-07-01,Registrerad,2009-02-12,Yes,2009-01-29,Aktiebolag,Scandinavian Property Development Aktiebolag,"Privat, ej börsnoterat",Skåne län,Malmö,Kai Edelved,Styrelseledamot,,,,2024-10-28 12:55
5567608145,Scandinavian Property Development Sweden AB,info@scandinavianhouse.net,www.scandinavianhouse.net,STORTORGET 29 CO PURPLE SCOUT,21134,Malmö,Skåne län,705757390,c/o RESULTERA I REDOVISNING MALMÖ AB - STORTORGET 29 CO PURPLE SCOU,21134,Malmö,,,,,,,,,,,0,0,23,23,169,2020-12-01,2008,,114.42,38.46,,0,0,0,0,0,305,-23,-32,71,-23,-32,71,169,163,5888,Föremålet för bolagets verksamhet är att äga och förvalta fast och lös egendom samt därmed förenlig verksamhet.,41200,Active,2008-07-01,Registrerad,2009-02-12,Yes,2009-01-29,Aktiebolag,Scandinavian Property Development Aktiebolag,"Privat, ej börsnoterat",Skåne län,Malmö,Maria Katarina Sjöström,Delgivningsbar person,,,,2024-10-28 12:55
5567608145,Scandinavian Property Development Sweden AB,info@scandinavianhouse.net,www.scandinavianhouse.net,STORTORGET 29 CO PURPLE SCOUT,21134,Malmö,Skåne län,705757390,c/o RESULTERA I REDOVISNING MALMÖ AB - STORTORGET 29 CO PURPLE SCOU,21134,Malmö,,,,,,,,,,,0,0,23,23,169,2020-12-01,2008,,114.42,38.46,,0,0,0,0,0,305,-23,-32,71,-23,-32,71,169,163,5888,Föremålet för bolagets verksamhet är att äga och förvalta fast och lös egendom samt därmed förenlig verksamhet.,41200,Active,2008-07-01,Registrerad,2009-02-12,Yes,2009-01-29,Aktiebolag,Scandinavian Property Development Aktiebolag,"Privat, ej börsnoterat",Skåne län,Malmö,Stig Holmboe Thorsen,Styrelseledamot,info@scandinavianhouse.net,,,2024-10-28 12:55
5567717987,Reklambyråaktiebolaget Consum,mats@consum.nu,www.consum.nu,FÅGELBACKSGATAN 16,21744,Malmö,Skåne län,40267225,c/o MATS MJÖRNEMARK - FÅGELBACKSGATAN 16 2TR,21744,Malmö,,,,,,,,,,,0,781,5,1,390,2021-04-01,2008,0.68,650,83.01,56.33,1,2,2,781,983,952,5,6,11,1,2,40,390,486,471,Bolaget skall bedriva reklamproduktion och rådgivning i marknadsförings- och strategifrågor samt därmed förenlig verksamhet.,73111,Active,2008-12-08,Registrerad,2009-01-08,Yes,2009-01-08,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Malmö,Mats Johan Mjörnemark,Styrelseledamot,mats@consum.nu,,,2024-10-28 12:55
5567717987,Reklambyråaktiebolaget Consum,mats@consum.nu,www.consum.nu,FÅGELBACKSGATAN 16,21744,Malmö,Skåne län,40267225,c/o MATS MJÖRNEMARK - FÅGELBACKSGATAN 16 2TR,21744,Malmö,,,,,,,,,,,0,781,5,1,390,2021-04-01,2008,0.68,650,83.01,56.33,1,2,2,781,983,952,5,6,11,1,2,40,390,486,471,Bolaget skall bedriva reklamproduktion och rådgivning i marknadsförings- och strategifrågor samt därmed förenlig verksamhet.,73111,Active,2008-12-08,Registrerad,2009-01-08,Yes,2009-01-08,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Malmö,Nils Martin Christoffer Palmer,Styrelsesuppleant,,,,2024-10-28 12:55
5563957066,Rara Typer AB,info@raratyper.se,www.mylla.nu,VIDERUPSGATAN 41,21622,Limhamn,Skåne län,40265100,c/o ARVI KAAMAN - VIDERUPSGATAN 41,21622,Limhamn,,,,,,,,,,,0,78,2,2,158,2020-12-01,1990,2.56,5033.33,90.51,98.72,2,0,0,78,0,0,2,0,0,2,0,0,158,0,0,"Bolaget ska driva konsultverksamhet inom området information, framställa trycksaker, göra layout och designa information, samt bedriva publicistisk verksamhet.",70210,Active,1990-05-16,Registrerad,1994-01-01,Yes,1990-01-01,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Malmö,Arvi Kaaman,Styrelseledamot,info@raratyper.se,,,2024-10-28 12:55
5563957066,Rara Typer AB,info@raratyper.se,www.mylla.nu,VIDERUPSGATAN 41,21622,Limhamn,Skåne län,40265100,c/o ARVI KAAMAN - VIDERUPSGATAN 41,21622,Limhamn,,,,,,,,,,,0,78,2,2,158,2020-12-01,1990,2.56,5033.33,90.51,98.72,2,0,0,78,0,0,2,0,0,2,0,0,158,0,0,"Bolaget ska driva konsultverksamhet inom området information, framställa trycksaker, göra layout och designa information, samt bedriva publicistisk verksamhet.",70210,Active,1990-05-16,Registrerad,1994-01-01,Yes,1990-01-01,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Malmö,Erik Hugo Kaaman,Styrelsesuppleant,,,,2024-10-28 12:55
5563957066,Rara Typer AB,info@raratyper.se,www.mylla.nu,VIDERUPSGATAN 41,21622,Limhamn,Skåne län,40265100,c/o ARVI KAAMAN - VIDERUPSGATAN 41,21622,Limhamn,,,,,,,,,,,0,78,2,2,158,2020-12-01,1990,2.56,5033.33,90.51,98.72,2,0,0,78,0,0,2,0,0,2,0,0,158,0,0,"Bolaget ska driva konsultverksamhet inom området information, framställa trycksaker, göra layout och designa information, samt bedriva publicistisk verksamhet.",70210,Active,1990-05-16,Registrerad,1994-01-01,Yes,1990-01-01,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Malmö,Felix Nemo Kaaman,Styrelsesuppleant,,,,2024-10-28 12:55
5567415822,BI-Vent AB,info@bi-vent.se,www.bi-vent.se,STENBROVÄGEN 19,25368,Helsingborg,Skåne län,,STENBROVÄGEN 19,25368,Helsingborg,,,,,,,,,,,0,185335,9876,6935,62953,2020-12-01,2007,5.36,167.22,41.37,33.56,61,56,51,185335,147313,128875,9876,7321,6126,6935,4669,4689,62953,45642,41349,Föremålet för bolagets verksamhet är att utföra leveranser och montage av ventilationsanläggningar samt därmed förenlig verksamhet. Bolaget har rätt att delta i banktjänsten cashpool och lämna internlån.,43222,Active,2007-11-01,Registrerad,2008-06-12,Yes,2008-06-12,Aktiebolag,Instalco Intressenter AB,"Privat, ej börsnoterat",Skåne län,Helsingborg,Björn Jesper Helgesson,Styrelseledamot,,,,2024-10-28 12:55
5567415822,BI-Vent AB,info@bi-vent.se,www.bi-vent.se,STENBROVÄGEN 19,25368,Helsingborg,Skåne län,,STENBROVÄGEN 19,25368,Helsingborg,,,,,,,,,,,0,185335,9876,6935,62953,2020-12-01,2007,5.36,167.22,41.37,33.56,61,56,51,185335,147313,128875,9876,7321,6126,6935,4669,4689,62953,45642,41349,Föremålet för bolagets verksamhet är att utföra leveranser och montage av ventilationsanläggningar samt därmed förenlig verksamhet. Bolaget har rätt att delta i banktjänsten cashpool och lämna internlån.,43222,Active,2007-11-01,Registrerad,2008-06-12,Yes,2008-06-12,Aktiebolag,Instalco Intressenter AB,"Privat, ej börsnoterat",Skåne län,Helsingborg,Eva Camilla Nilsson,Huvudansvarig revisor,eva.camilla.nilsson@bi-vent.se,,,2024-10-28 12:55
5567415822,BI-Vent AB,info@bi-vent.se,www.bi-vent.se,STENBROVÄGEN 19,25368,Helsingborg,Skåne län,,STENBROVÄGEN 19,25368,Helsingborg,,,,,,,,,,,0,185335,9876,6935,62953,2020-12-01,2007,5.36,167.22,41.37,33.56,61,56,51,185335,147313,128875,9876,7321,6126,6935,4669,4689,62953,45642,41349,Föremålet för bolagets verksamhet är att utföra leveranser och montage av ventilationsanläggningar samt därmed förenlig verksamhet. Bolaget har rätt att delta i banktjänsten cashpool och lämna internlån.,43222,Active,2007-11-01,Registrerad,2008-06-12,Yes,2008-06-12,Aktiebolag,Instalco Intressenter AB,"Privat, ej börsnoterat",Skåne län,Helsingborg,Jessica Anette Snygg,Styrelseledamot,,,,2024-10-28 12:55
5567415822,BI-Vent AB,info@bi-vent.se,www.bi-vent.se,STENBROVÄGEN 19,25368,Helsingborg,Skåne län,,STENBROVÄGEN 19,25368,Helsingborg,,,,,,,,,,,0,185335,9876,6935,62953,2020-12-01,2007,5.36,167.22,41.37,33.56,61,56,51,185335,147313,128875,9876,7321,6126,6935,4669,4689,62953,45642,41349,Föremålet för bolagets verksamhet är att utföra leveranser och montage av ventilationsanläggningar samt därmed förenlig verksamhet. Bolaget har rätt att delta i banktjänsten cashpool och lämna internlån.,43222,Active,2007-11-01,Registrerad,2008-06-12,Yes,2008-06-12,Aktiebolag,Instalco Intressenter AB,"Privat, ej börsnoterat",Skåne län,Helsingborg,Patrik Anders Kristian Persson,Styrelseledamot,patrik.anders.kristian.persson@bi-vent.se,,,2024-10-28 12:55
5567415822,BI-Vent AB,info@bi-vent.se,www.bi-vent.se,STENBROVÄGEN 19,25368,Helsingborg,Skåne län,,STENBROVÄGEN 19,25368,Helsingborg,,,,,,,,,,,0,185335,9876,6935,62953,2020-12-01,2007,5.36,167.22,41.37,33.56,61,56,51,185335,147313,128875,9876,7321,6126,6935,4669,4689,62953,45642,41349,Föremålet för bolagets verksamhet är att utföra leveranser och montage av ventilationsanläggningar samt därmed förenlig verksamhet. Bolaget har rätt att delta i banktjänsten cashpool och lämna internlån.,43222,Active,2007-11-01,Registrerad,2008-06-12,Yes,2008-06-12,Aktiebolag,Instalco Intressenter AB,"Privat, ej börsnoterat",Skåne län,Helsingborg,Silva Kristina Svensson,Styrelseledamot,,,,2024-10-28 12:55
5567415822,BI-Vent AB,info@bi-vent.se,www.bi-vent.se,STENBROVÄGEN 19,25368,Helsingborg,Skåne län,,STENBROVÄGEN 19,25368,Helsingborg,,,,,,,,,,,0,185335,9876,6935,62953,2020-12-01,2007,5.36,167.22,41.37,33.56,61,56,51,185335,147313,128875,9876,7321,6126,6935,4669,4689,62953,45642,41349,Föremålet för bolagets verksamhet är att utföra leveranser och montage av ventilationsanläggningar samt därmed förenlig verksamhet. Bolaget har rätt att delta i banktjänsten cashpool och lämna internlån.,43222,Active,2007-11-01,Registrerad,2008-06-12,Yes,2008-06-12,Aktiebolag,Instalco Intressenter AB,"Privat, ej börsnoterat",Skåne län,Helsingborg,Tomas Engström,Styrelseledamot,tomas.engstrom@bi-vent.se,,,2024-10-28 12:55
5561881607,Schööns Måleri AB,info@schoonsmaleri.se,schoonsmaleri.se,PILOTGATAN 1,21239,Malmö,Skåne län,40180035,PILOTGATAN 1,21239,Malmö,,,,,,,,,,,0,91134,6866,3954,27216,2020-12-01,1974,7.78,167.94,37.56,78.82,87,85,77,91134,89606,76560,6866,3821,5515,3954,2118,2980,27216,22773,22639,Bolaget skall bedriva måleriverksamhet samt därmed förenlig verksamhet.,4334143330,Active,1974-09-26,Registrerad,1994-01-01,Yes,1974-01-01,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Malmö,Carl Victor Schöön,Styrelseledamot,,,,2024-10-28 12:55
5561881607,Schööns Måleri AB,info@schoonsmaleri.se,schoonsmaleri.se,PILOTGATAN 1,21239,Malmö,Skåne län,40180035,PILOTGATAN 1,21239,Malmö,,,,,,,,,,,0,91134,6866,3954,27216,2020-12-01,1974,7.78,167.94,37.56,78.82,87,85,77,91134,89606,76560,6866,3821,5515,3954,2118,2980,27216,22773,22639,Bolaget skall bedriva måleriverksamhet samt därmed förenlig verksamhet.,4334143330,Active,1974-09-26,Registrerad,1994-01-01,Yes,1974-01-01,Aktiebolag,,"Privat, ej börsnoterat",Skåne län,Malmö,Gunnar Filip Schöön,Styrelsesuppleant,,,,2024-10-28 12:55
